OWPP_BE,L_BE,OWPP_DE,L_DE,OWPP_DK,L_DK,OWPP_GB,L_GB,OWPP_NL,L_NL,OWPP_NO,L_NO
BE,BE,DE,DE,DK,DK,GB,GB,NL,NL,NO,NO
WPP,Load,WPP,Load,WPP,Load,WPP,Load,WPP,Load,WPP,Load
0.934898988,0.834312364,0.361576,0.866473894,0.281779159,0.858856346,0.274637128,0.751486427,0.274404362,0.670147933,0.460635359,0.790712468
0.915043544,0.841337567,0.262011594,0.870547941,0.176644642,0.844630404,0.319556914,0.750450999,0.234819628,0.649833622,0.504834254,0.798505089
0.901299677,0.835106172,0.131791832,0.845471658,0.134929288,0.829846583,0.363254393,0.747120547,0.281200986,0.654694101,0.524861878,0.802798982
0.866407321,0.822306013,0.086398323,0.825587322,0.113159783,0.833472803,0.397478992,0.752126899,0.320188214,0.675407221,0.569060773,0.809001272
0.859889041,0.840583449,0.084171225,0.811890507,0.079777821,0.822873082,0.427731092,0.751006074,0.287848234,0.697092436,0.576657459,0.837627226
0.753914504,0.832109546,0.049651197,0.814109316,0.05269047,0.849930265,0.460733384,0.757175948,0.327432967,0.733172148,0.628453039,0.843352417
0.611080412,0.864060329,0.07051387,0.841856324,0.028113271,0.885355649,0.497784568,0.813644175,0.400104563,0.778087962,0.696823204,0.831583969
0.273323461,0.862274261,0.124488259,0.837456083,0.05954822,0.847977685,0.530175707,0.829837427,0.496153559,0.74840165,0.717541436,0.819974555
0.21215574,0.835522921,0.219008941,0.80810528,0.136496826,0.790237099,0.547440794,0.803610124,0.60056763,0.717805556,0.758977901,0.813454198
0.191725609,0.785413773,0.27976288,0.763715503,0.191010442,0.747280335,0.555844156,0.721587088,0.600268877,0.684791685,0.789364641,0.801526718
0.109826047,0.744850169,0.379360037,0.71566622,0.232080242,0.716039052,0.565775401,0.670157236,0.652699978,0.64730368,0.808701657,0.784669211
0.086951284,0.740484223,0.517079881,0.677426589,0.322309463,0.679218968,0.567990833,0.607818021,0.676002689,0.607497601,0.803867403,0.772423664
0.066200654,0.71391149,0.578652605,0.633176125,0.489341149,0.653277545,0.562719633,0.559665247,0.64440959,0.571779309,0.819751381,0.741889313
0.062469608,0.665072435,0.679821832,0.597603822,0.630392909,0.639051604,0.55210084,0.558928705,0.674508925,0.545445482,0.83218232,0.724872774
0.010315636,0.631434808,0.764353323,0.572235323,0.691452362,0.635983264,0.549121467,0.564436759,0.688774367,0.525554905,0.83218232,0.714058524
7.74E-05,0.610081365,0.811449907,0.565293474,0.73790447,0.641562064,0.536210848,0.552886925,0.689969378,0.512493924,0.813535912,0.71851145
2.21E-06,0.602619567,0.848753807,0.576278788,0.776217678,0.654672245,0.535064935,0.540333686,0.696168497,0.505240594,0.797651934,0.722805344
0,0.609505854,0.862018144,0.596584461,0.77265939,0.660251046,0.540488923,0.546001857,0.69848383,0.506175301,0.787292818,0.727417303
0,0.632605676,0.849441588,0.624698439,0.780895321,0.705439331,0.538655462,0.528431592,0.692956905,0.523211904,0.769337017,0.750954198
7.40E-05,0.695435602,0.746012511,0.679740539,0.789726416,0.751185495,0.537662338,0.520404351,0.691388453,0.566594798,0.796961326,0.786736641
0.017599797,0.741139115,0.675727901,0.731469715,0.789522312,0.855788006,0.530252101,0.566251428,0.623347524,0.621892097,0.770027624,0.830311705
0.064393705,0.793709069,0.595421347,0.767969637,0.778527087,0.917433752,0.522612681,0.641026462,0.483605945,0.676765663,0.676104972,0.856075064
